transaction_id,customer_id,timestamp,event_type,properties,environment_type
e5de36aa0f75469a9f28b1c14d776315,5O9CTU3A,2024-03-13 00:57:44.673000 UTC,infra-usage,"{cluster_name=cluster-1, csp=aws, unit=vCPU-hour, cluster_id=cluster-id-2, quantity=65.95385174067853, prj_id=project-1, region_id=ca-west-1, organization_name=org-1}",SANDBOX
4705e668dd3347d1961192ad09923eaa,Q6QFZ6S6,2024-03-28 00:58:02.687000 UTC,infra-usage,"{cluster_name=cluster-1, csp=aws, unit=vCPU-hour, cluster_id=cluster-id-1, quantity=2.0607744633343583, prj_id=project-1, region_id=ca-west-1, organization_name=org-2}",SANDBOX
ba9ee5f395704915a5863248f3eda2f8,8Z0GOX9B,2024-03-20 00:01:25.602000 UTC,usage_events,"{event_type_version=1.1, gpu_hours=15, provider=aws, cpu_hours=74, os_version=7.1, instanceType=m5.4xlarge, nodeCount=3, clusterid=8b35-4bd5-9ce4, source=instance123.nvidia.com, region=us-east-2, storage_gb-hours=8337}",SANDBOX
4050f6b2600542c7b168e3ecac00f4fd,Q6QFZ6S6,2024-03-28 00:59:00.544000 UTC,irs_tax_id_verification,"{username=kevin@abccorp.com, status=match-found}",SANDBOX
544c0fd35e3c44059f57efb612b8d655,Q6QFZ6S6,2024-03-28 00:59:00.544000 UTC,name_verification,"{username=bill@abccorp.com, status=match-not-found}",SANDBOX
07e761722daa447dab894b7e791bd204,5O9CTU3A,2024-03-13 01:57:44.673000 UTC,infra-usage,"{cluster_name=cluster-1, csp=aws, unit=vCPU-hour, cluster_id=cluster-id-1, quantity=75.73579651567336, prj_id=project-2, region_id=ca-west-1, organization_name=org-1}",SANDBOX
d7c65ed4f0e94a549bbe6c707e705376,5O9CTU3A,2024-03-13 02:57:44.673000 UTC,infra-usage,"{cluster_name=cluster-2, csp=aws, unit=vCPU-hour, cluster_id=cluster-id-2, quantity=38.01185912624337, prj_id=project-2, region_id=ca-west-1, organization_name=org-1}",SANDBOX
bceca1cda3bf413d8436c4a024bbdcfa,8Z0GOX9B,2024-03-20 01:01:25.602000 UTC,usage_events,"{event_type_version=1.1, gpu_hours=87, provider=aws, cpu_hours=49, os_version=7.1, instanceType=c5.12xlarge, nodeCount=4, clusterid=8b35-4bd5-9ce4, source=instance123.nvidia.com, region=us-east-1, storage_gb-hours=6173}",SANDBOX
15766f61a5b94f6899517149664f0aa3,8Z0GOX9B,2024-03-20 02:01:25.602000 UTC,usage_events,"{event_type_version=1.1, gpu_hours=85, provider=aws, cpu_hours=6, os_version=7.1, instanceType=m5.xlarge, nodeCount=4, clusterid=8b35-4bd5-9ce4, source=instance123.nvidia.com, region=ca-central-1, storage_gb-hours=2666}",SANDBOX
b6eb586cf39d44939fe9f3b18eb2b2ef,Q6QFZ6S6,2024-03-28 00:59:00.544000 UTC,address_verification,"{username=kevin@abccorp.com, status=match-found}",SANDBOX
d84cbd7fcc934c8bb314611393f1247d,Q6QFZ6S6,2024-03-28 00:59:00.544000 UTC,identity_check,"{username=kevin@abccorp.com, status=success}",SANDBOX
993fa578d5874c9fb03e6aa67e29f486,Q6QFZ6S6,2024-03-28 01:58:02.687000 UTC,infra-usage,"{cluster_name=cluster-2, csp=azure, unit=vCPU-hour, cluster_id=cluster-id-2, quantity=75.2749396015171, prj_id=project-1, region_id=westeurope, organization_name=org-1}",SANDBOX
5ee453ff6a7941beb86e3a995e9e3a10,Q6QFZ6S6,2024-03-28 01:59:00.544000 UTC,name_verification,"{username=ben@abccorp.com, status=match-found}",SANDBOX
f1d3a2904f394f9294100ee39357bf97,5O9CTU3A,2024-03-13 03:57:44.673000 UTC,infra-usage,"{cluster_name=cluster-1, csp=aws, unit=vCPU-hour, cluster_id=cluster-id-1, quantity=90.36097596000961, prj_id=project-2, region_id=ca-west-1, organization_name=org-2}",SANDBOX
ec02a392c7344a58a2856603b96d445b,5O9CTU3A,2024-03-13 04:57:44.673000 UTC,infra-usage,"{cluster_name=cluster-1, csp=aws, unit=vCPU-hour, cluster_id=cluster-id-2, quantity=28.375738065775323, prj_id=project-1, region_id=ca-west-1, organization_name=org-1}",SANDBOX
03816ec9afbf444186873c016aaad6c9,5O9CTU3A,2024-03-13 05:57:44.673000 UTC,infra-usage,"{cluster_name=cluster-2, csp=aws, unit=vCPU-hour, cluster_id=cluster-id-1, quantity=99.81964858850505, prj_id=project-1, region_id=ca-west-1, organization_name=org-2}",SANDBOX
34c226002bed4c04b4f685817f091208,5O9CTU3A,2024-03-13 06:57:44.673000 UTC,infra-usage,"{cluster_name=cluster-1, csp=aws, unit=vCPU-hour, cluster_id=cluster-id-2, quantity=40.59261854821017, prj_id=project-1, region_id=ca-west-1, organization_name=org-1}",SANDBOX
d2eb06b261354cd790d4d0befe0b0d5b,8Z0GOX9B,2024-03-20 03:01:25.602000 UTC,usage_events,"{event_type_version=1.1, gpu_hours=46, provider=aws, cpu_hours=2, os_version=7.1, instanceType=m5.16xlarge, nodeCount=4, clusterid=200a-4fea-8d3b, source=instance456.nvidia.com, region=us-east-1, storage_gb-hours=13203}",SANDBOX
b1adbedeab124f66bc91c0fda8cde8af,8Z0GOX9B,2024-03-20 04:01:25.602000 UTC,usage_events,"{event_type_version=1.1, gpu_hours=47, provider=aws, cpu_hours=29, os_version=7.1, instanceType=m5.4xlarge, nodeCount=4, clusterid=200a-4fea-8d3b, source=instance123.nvidia.com, region=us-east-2, storage_gb-hours=777}",SANDBOX
699157b0d9834dd8bf556cc397ac969f,8Z0GOX9B,2024-03-20 05:01:25.602000 UTC,usage_events,"{event_type_version=1.1, gpu_hours=21, provider=aws, cpu_hours=81, os_version=7.1, instanceType=m5.16xlarge, nodeCount=4, clusterid=200a-4fea-8d3b, source=instance789.nvidia.com, region=ca-central-1, storage_gb-hours=6716.5}",SANDBOX
8ec4584b3bb449918153eed093f9c5e1,8Z0GOX9B,2024-03-20 06:01:25.602000 UTC,usage_events,"{event_type_version=1.1, gpu_hours=17, provider=aws, cpu_hours=42, os_version=7.1, instanceType=c5.9xlarge, nodeCount=4, clusterid=8b35-4bd5-9ce4, source=instance123.nvidia.com, region=us-east-1, storage_gb-hours=6072}",SANDBOX
13fe0d131ed344288cabeec54c809dd5,Q6QFZ6S6,2024-03-28 01:59:00.544000 UTC,irs_tax_id_verification,"{username=bill@abccorp.com, status=match-not-found}",SANDBOX
fca5d9a6b16a48749040ac78ac7d0e30,Q6QFZ6S6,2024-03-28 01:59:00.544000 UTC,address_verification,"{username=ben@abccorp.com, status=match-found}",SANDBOX
9459f82621784f1db2628c15ac850855,Q6QFZ6S6,2024-03-28 01:59:00.544000 UTC,identity_check,"{username=kevin@abccorp.com, status=success}",SANDBOX
